entity_id,id,entity_name,sector,year,qtr,period,idperiod,country,accrued_expenses,capex_fixed_assets,cash_short_term_investments,cost_of_goods_sold_incl_depreciation_amortization,retained_earnings,common_equity_total,current_lt_debt,long_term_debt,short_term_debt,depreciation_amortization,common_dividends,preferred_dividends,ebit,ebitda,total_equity,gross_income,net_interest_Expense,intangibles_assets,inventory,net_cash_from_investing_activities,long_term_investments,total_short_term_investments,investments,minority_interest,net_income,net_cash_from_operating_activities,accounts_payable,preferred_stock_carrying_value,ppe_net,pretax_income,sales,tax_rate,r_d_expense,sg_a_expense,total_assets,current_assets,current_liabilities,total_liabilities,free_cash_flow,funds_from_operations,total_receivables,shareholders_equity,operating_income,income_tax,market_val,priceSales,dividend_yield,priceBook,total_deposits,long_term_liabilities,loan_loss_provision,ppe_accumulated_depreciation,ppe_gross,prepaid_expenses,cash_taxes_paid,change_in_working_capital,investment_income,insurance_investment_assets,gross_loans,loan_loss_recov,loan_loss_act,prem_earned,prem_written,goodwill,secured_debt,insurance_reserves,insurance_policy_liabs,non_perf_loans,loan_loss_reserves,non_perf_assets,loans_past_due_90days,loans_non_accruals,tier1_cap,tier2_cap,risk_weighted_assets,leverage_exposure,interest_inc,interest_exp,cash_due_fr_bk,distance_to_default,priceCashflow,priceEarnings,earning_assets,interest_bearing_liabs,loss_claims_exp,non_interest_inc,non_interest_exp,Can_Modify_in_What_If,CreditRating,common_share_outstanding,depreciation,dividend_per_share,employees_number,earnings_per_share,interest_capitalized,non_operating_interest_income,interest_income,total_investments_and_advances,non_operating_expense,non_operating_income,long_term_notes_receivable,operating_provision,taxes_payable,income_tax_payable,SecFCFTotalDebt,SecEBITDAMargin,SecNetDebtEBITDACapex,SecTotalDebtTotalCapital,Credit_Score,CreditRatingModel,Credit_Score_Model,Short,Salpha,Mid,Malpha,Long,Lalpha,S_C_Exact,S_C_OneNotch,M_C_Exact,M_C_OneNotch,L_C_Exact,L_C_OneNotch,5yrCDS,PD_bps,cost_of_goods_sold_excl_DA_AW_WI,sga_oth_AW_WI,other_income_expense_AW_WI,dividend_payout_ratio_AW_WI,other_current_assets_AW_WI,total_other_assets_AW_WI,short_term_notes_AW_WI,other_short_term_liabilities_AW_WI,other_long_term_liabilities_AW_WI,stock_value_AW_WI,other_equity_AW_WI,increase_decrease_in_other_items_AW_WI,other_investing_activities_AW_WI,dividend_or_distributions_paid,sale_repurchase_of_equity,issuance_reduction_of_debt,other_financing_activities_AW_WI,net_cash_from_financing_activities_AW_WI
000C7F-E,1667,Apple Inc,TechHardware,2019,1F,2019/1F,000C7F-E2019/1F,United States,36703,3355,86427,52654,80510,117892,9772,92989,11969,3395,3568,0,23034,26429,117892,31719,890,,4988,5844,158608,70514,,0,19965,26690,44293,0,39597,23906,84373,16.48540115,3902,8685,373719,140828,108283,255827,19767,24918,36981,117892,23034,3941,738937.1227,2.849487629,,,,,,51929,91526,,4916,1772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,AA+,,,,,,,,,,,,,,,,,,,,2,,2,2,AA+,2,AA+,,,0.859,0.93,0.946,0.977,,,20.97577466,0.00366378,49259,4783,1762,17.45242421,12432,193294,21741,42249,54555,37382,0,1558,9199,3568,-8796,6,-1318,-13676
000C7F-E,1667,Apple Inc,TechHardware,2019,2F,2019/2F,000C7F-E2019/2F,United States,34863,2363,80433,36270,64558,105860,10505,90201,11924,3040,3443,0,13242,16282,105860,21648,1010,,4884,13348,146807,59622,,0,11561,11155,30443,0,38746,13793,57918,16.18212137,3948,8406,341998,123346,93772,236138,5349,15777,26278,105860,13242,2232,875153.5958,3.455461158,,,,,,54290,93036,,4581,-4622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AA+,,,,,,,,,,,,,,,,,,,,2,,2,2,AA+,2,AA+,,,0.859,0.93,0.946,0.977,,,21.26056908,0.00366378,33230,4458,1561,29.6796227,11751,179906,22429,40900,52165,41302,0,1176,15711,3443,-23312,-2506,-196,-29457
000C7F-E,1667,Apple Inc,TechHardware,2019,3F,2019/3F,000C7F-E2019/3F,United States,31070,2000,94880,33569,53724,96456,13529,84936,9953,2933,3629,0,11489,14422,96456,20172,866,,3355,27502,117351,71981,,0,10044,11636,29115,0,37636,11911,53741,15.67458652,4257,8683,322239,134973,89704,225783,6007,14434,26474,96456,11489,1867,896853.6984,3.520136714,,,,,,56348,93984,,2298,-2798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AA+,,,,,,,,,,,,,,,,,,,,2,,2,2,AA+,2,AA+,,,0.859,0.93,0.946,0.977,,,20.19932675,0.00366378,30636,4426,1288,35.27579256,10264,149630,23482,37107,51143,42732,0,1457,29502,3629,-16954,-5026,-1195,-26804
000C7F-E,1667,Apple Inc,TechHardware,2019,4F,2019/4F,000C7F-E2019/4F,United States,36120,2777,100580,39771,45898,90488,10260,91807,5980,1932,3479,0,15477,17409,90488,24165,810,,4106,-798,106698,72456,,0,13686,19910,46236,0,37378,16127,63936,15.13610715,4110,8688,338516,162819,105718,248028,13654,17750,45804,90488,15477,2441,972268.9015,3.804883754,,,,,,58579,95957,,3468,2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AA+,,,,,,,,,,,,,,,,,,,,2,,2,2,AA+,2,AA+,,,0.859,0.93,0.946,0.977,,,22.15705487,0.00366378,37839,4578,1460,25.43268596,12329,138319,16240,43242,50503,44590,0,2132,1979,3479,-17054,-293,-213,-21039
000C7F-E,1667,Apple Inc,TechHardware,2020,1F,2020/1F,000C7F-E2020/1F,United States,0,2107,107230,56773,43977,89531,10238,100278,6235,2816,3539,0,25301,28117,89531,34949,785,,4097,-13668,101725,84244,,0,22236,30516,45111,0,44293,25918,91722,14.20634308,4451,9648,340618,163231,102161,251087,24870,26271,39946,89531,25301,3682,1270761.118,4.829263531,,,,,,60959,105252,,4393,4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AA+,,,,,,,,,,,,,,,,,,,,2,,2,2,AA+,2,AA+,,,0.859,0.93,0.946,0.977,,,24.12562803,0.00369307,53957,5197,1402,15.42591554,11958,133094,16473,40577,48648,45554,0,1219,-11561,3539,-20704,231,-1395,-25407
000C7F-E,43918,Apple Inc,TechHardware,2020,2F,2020/2F,000C7F-E2020/2F,United States,0,1853,95128,35931,33182,78425,10411,97136,11214,2786,,,12899,15685,78425,22416,757,,3334,9013,,,,0,11249,13311,32421,0,43986,13135,58347,14.35858394,4565,9517,320400,143753,96094,241975,8083,15313,30677,78425,12899,1886,1071224.539,4.075572178,,,,,,62854,106840,,,-2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AA+,,,,,,,,,,,,,,,,,,,,2,,2,2,AA+,2,AA+,,,0.859,0.93,0.946,0.977,,,29.64451772,0.003752356,33145,4952,993,30.14878622,14614,132661,21625,42048,48745,45243,0,1278,10866,3375,-18146,803,-222,-20940
000C7F-E,44009,Apple Inc,TechHardware,2020,3F,2020/3F,000C7F-E2020/3F,United States,0,1565,93054,37367,24136,72282,7529,102138,12519,2752,,,12459,15211,72282,22048,697,,3978,-5165,,,,0,11253,16271,35325,0,43851,13137,59415,14.34117378,4758,9589,317344,140065,95318,245062,11050,16701,32075,72282,12459,1884,1514929.349,5.632300784,,,,,,65230,109081,,,-430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AA+,,,,,,,,,,,,,,,,,,,,2,,2,2,AA+,2,AA+,,,0.859,0.93,0.946,0.977,,,30.66813422,0.003722595,34615,4831,1375,31.73374613,10958,133428,20048,39945,47606,48146,0,2696,-3600,3656,-15891,2168,-1737,-19116
000C7F-E,44100,Apple Inc,TechHardware,2020,4F,2020/4F,000C7F-E2020/4F,United States,0,1784,90979,40072,14966,65339,8797,107049,6432,2702,,,14680,17382,65339,24594,634,,4061,5531,,,,0,12673,20576,42296,0,45336,14901,64666,14.95201664,4978,9914,323888,143713,105392,258549,15281,16699,37445,65339,14680,2228,1906150.95,7.067525726,,,,,,66760,112096,,,3877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AA+,,,,,,,,,,,,,,,,,,,,2,,2,2,AA+,2,AA+,,,0.859,0.93,0.946,0.977,,,29.55950844,0.003722595,37370,4936,855,27.91394336,11228,134839,15229,47867,46108,50373,0,1324,7315,3511,-16737,-703,-406,-21357
